"","book","chapter","verse","text"
"1","Matthew","1","1","This is the genealogy # 1:1 Or is an account of the origin 1:1 Or is an account of the origin of Jesus the Messiah # 1:1 Or Jesus Christ. Messiah (Hebrew) and Christ (Greek) both mean Anointed One; also in verse 18. 1:1 Or Jesus Christ . Messiah (Hebrew) and Christ (Greek) both mean Anointed One ; also in verse 18. the son of David, the son of Abraham: "
"2","Matthew","1","2","Abraham was the father of Isaac, Isaac the father of Jacob, Jacob the father of Judah and his brothers, "
"3","Matthew","1","3","Judah the father of Perez and Zerah, whose mother was Tamar, Perez the father of Hezron, Hezron the father of Ram, "
"4","Matthew","1","4","Ram the father of Amminadab, Amminadab the father of Nahshon, Nahshon the father of Salmon, "
"5","Matthew","1","5","Salmon the father of Boaz, whose mother was Rahab, Boaz the father of Obed, whose mother was Ruth, Obed the father of Jesse, "
"6","Matthew","1","6","and Jesse the father of King David. David was the father of Solomon, whose mother had been Uriah’s wife, "
"7","Matthew","1","7","Solomon the father of Rehoboam, Rehoboam the father of Abijah, Abijah the father of Asa, "
"8","Matthew","1","8","Asa the father of Jehoshaphat, Jehoshaphat the father of Jehoram, Jehoram the father of Uzziah, "
"9","Matthew","1","9","Uzziah the father of Jotham, Jotham the father of Ahaz, Ahaz the father of Hezekiah, "
"10","Matthew","1","10","Hezekiah the father of Manasseh, Manasseh the father of Amon, Amon the father of Josiah, "
"11","Matthew","1","11","and Josiah the father of Jeconiah # 1:11 That is, Jehoiachin; also in verse 12 1:11 That is, Jehoiachin; also in verse 12 and his brothers at the time of the exile to Babylon. "
"12","Matthew","1","12","After the exile to Babylon: Jeconiah was the father of Shealtiel, Shealtiel the father of Zerubbabel, "
"13","Matthew","1","13","Zerubbabel the father of Abihud, Abihud the father of Eliakim, Eliakim the father of Azor, "
"14","Matthew","1","14","Azor the father of Zadok, Zadok the father of Akim, Akim the father of Elihud, "
"15","Matthew","1","15","Elihud the father of Eleazar, Eleazar the father of Matthan, Matthan the father of Jacob, "
"16","Matthew","1","16","and Jacob the father of Joseph, the husband of Mary, and Mary was the mother of Jesus who is called the Messiah. "
"17","Matthew","1","17","Thus there were fourteen generations in all from Abraham to David, fourteen from David to the exile to Babylon, and fourteen from the exile to the Messiah. "
"18","Matthew","1","18","This is how the birth of Jesus the Messiah came about # 1:18 Or The origin of Jesus the Messiah was like this 1:18 Or The origin of Jesus the Messiah was like this : His mother Mary was pledged to be married to Joseph, but before they came together, she was found to be pregnant through the Holy Spirit. "
"19","Matthew","1","19","Because Joseph her husband was faithful to the law, and yet # 1:19 Or was a righteous man and 1:19 Or was a righteous man and did not want to expose her to public disgrace, he had in mind to divorce her quietly. "
"20","Matthew","1","20","But after he had considered this, an angel of the Lord appeared to him in a dream and said, “Joseph son of David, do not be afraid to take Mary home as your wife, because what is conceived in her is from the Holy Spirit. "
"21","Matthew","1","21","She will give birth to a son, and you are to give him the name Jesus, # 1:21 Jesus is the Greek form of Joshua, which means the Lord saves. 1:21 Jesus is the Greek form of Joshua, which means the Lord saves. Lord because he will save his people from their sins.” "
"22","Matthew","1","22","All this took place to fulfill what the Lord had said through the prophet: "
"23","Matthew","1","23","“The virgin will conceive and give birth to a son, and they will call him Immanuel” # 1:23 Isaiah 7:14 1:23 Isaiah 7:14 (which means “God with us”). "
"24","Matthew","1","24","When Joseph woke up, he did what the angel of the Lord had commanded him and took Mary home as his wife. "
"25","Matthew","1","25","But he did not consummate their marriage until she gave birth to a son. And he gave him the name Jesus. "
"26","Matthew","2","1","After Jesus was born in Bethlehem in Judea, during the time of King Herod, Magi # 2:1 Traditionally wise men 2:1 Traditionally wise men from the east came to Jerusalem "
"27","Matthew","2","2","and asked, “Where is the one who has been born king of the Jews? We saw his star when it rose and have come to worship him.” "
"28","Matthew","2","3","When King Herod heard this he was disturbed, and all Jerusalem with him. "
"29","Matthew","2","4","When he had called together all the people’s chief priests and teachers of the law, he asked them where the Messiah was to be born. "
"30","Matthew","2","5","“In Bethlehem in Judea,” they replied, “for this is what the prophet has written: "
"31","Matthew","2","6","“ ‘But you, Bethlehem, in the land of Judah, are by no means least among the rulers of Judah; for out of you will come a ruler who will shepherd my people Israel.’ # 2:6 Micah 5:2,4 2:6 Micah 5:2,4 ” "
"32","Matthew","2","7","Then Herod called the Magi secretly and found out from them the exact time the star had appeared. "
"33","Matthew","2","8","He sent them to Bethlehem and said, “Go and search carefully for the child. As soon as you find him, report to me, so that I too may go and worship him.” "
"34","Matthew","2","9","After they had heard the king, they went on their way, and the star they had seen when it rose went ahead of them until it stopped over the place where the child was. "
"35","Matthew","2","10","When they saw the star, they were overjoyed. "
"36","Matthew","2","11","On coming to the house, they saw the child with his mother Mary, and they bowed down and worshiped him. Then they opened their treasures and presented him with gifts of gold, frankincense and myrrh. "
"37","Matthew","2","12","And having been warned in a dream not to go back to Herod, they returned to their country by another route. "
"38","Matthew","2","13","When they had gone, an angel of the Lord appeared to Joseph in a dream. “Get up,” he said, “take the child and his mother and escape to Egypt. Stay there until I tell you, for Herod is going to search for the child to kill him.” "
"39","Matthew","2","14","So he got up, took the child and his mother during the night and left for Egypt, "
"40","Matthew","2","15","where he stayed until the death of Herod. And so was fulfilled what the Lord had said through the prophet: “Out of Egypt I called my son.” # 2:15 Hosea 11:1 2:15 Hosea 11:1 "
"41","Matthew","2","16","When Herod realized that he had been outwitted by the Magi, he was furious, and he gave orders to kill all the boys in Bethlehem and its vicinity who were two years old and under, in accordance with the time he had learned from the Magi. "
"42","Matthew","2","17","Then what was said through the prophet Jeremiah was fulfilled: "
"43","Matthew","2","18","“A voice is heard in Ramah, weeping and great mourning, Rachel weeping for her children and refusing to be comforted, because they are no more.” # 2:18 Jer. 31:15 2:18 Jer. 31:15 "
"44","Matthew","2","19","After Herod died, an angel of the Lord appeared in a dream to Joseph in Egypt "
"45","Matthew","2","20","and said, “Get up, take the child and his mother and go to the land of Israel, for those who were trying to take the child’s life are dead.” "
"46","Matthew","2","21","So he got up, took the child and his mother and went to the land of Israel. "
"47","Matthew","2","22","But when he heard that Archelaus was reigning in Judea in place of his father Herod, he was afraid to go there. Having been warned in a dream, he withdrew to the district of Galilee, "
"48","Matthew","2","23","and he went and lived in a town called Nazareth. So was fulfilled what was said through the prophets, that he would be called a Nazarene. "
"49","Matthew","3","1","In those days John the Baptist came, preaching in the wilderness of Judea "
"50","Matthew","3","2","and saying, “Repent, for the kingdom of heaven has come near.” "
"51","Matthew","3","3","This is he who was spoken of through the prophet Isaiah: “A voice of one calling in the wilderness, ‘Prepare the way for the Lord, make straight paths for him.’ ” # 3:3 Isaiah 40:3 3:3 Isaiah 40:3 "
"52","Matthew","3","4","John’s clothes were made of camel’s hair, and he had a leather belt around his waist. His food was locusts and wild honey. "
"53","Matthew","3","5","People went out to him from Jerusalem and all Judea and the whole region of the Jordan. "
"54","Matthew","3","6","Confessing their sins, they were baptized by him in the Jordan River. "
"55","Matthew","3","7","But when he saw many of the Pharisees and Sadducees coming to where he was baptizing, he said to them: “You brood of vipers! Who warned you to flee from the coming wrath? "
"56","Matthew","3","8","Produce fruit in keeping with repentance. "
"57","Matthew","3","9","And do not think you can say to yourselves, ‘We have Abraham as our father.’ I tell you that out of these stones God can raise up children for Abraham. "
"58","Matthew","3","10","The ax is already at the root of the trees, and every tree that does not produce good fruit will be cut down and thrown into the fire. "
"59","Matthew","3","11","“I baptize you with # 3:11 Or in 3:11 Or in water for repentance. But after me comes one who is more powerful than I, whose sandals I am not worthy to carry. He will baptize you with # 3:11 Or in 3:11 Or in the Holy Spirit and fire. "
"60","Matthew","3","12","His winnowing fork is in his hand, and he will clear his threshing floor, gathering his wheat into the barn and burning up the chaff with unquenchable fire.” "
"61","Matthew","3","13","Then Jesus came from Galilee to the Jordan to be baptized by John. "
"62","Matthew","3","14","But John tried to deter him, saying, “I need to be baptized by you, and do you come to me?” "
