day_of_as_of_date,age_groups,clinical_status,count_of_case
2021-09-16,70+ years old,Deceased,1
2021-09-17,70+ years old,Deceased,1
2021-09-19,70+ years old,Deceased,2
2021-09-20,70+ years old,Deceased,1
2021-09-21,70+ years old,Deceased,2
2021-09-23,70+ years old,Deceased,2
2021-09-24,70+ years old,Deceased,5
2021-09-25,70+ years old,Deceased,2
2021-09-27,70+ years old,Deceased,2
2021-09-28,70+ years old,Deceased,4
2021-09-29,70+ years old,Deceased,8
2021-09-30,70+ years old,Deceased,6
2021-10-01,70+ years old,Deceased,4
2021-10-02,70+ years old,Deceased,3
2021-10-03,70+ years old,Deceased,4
2021-10-04,70+ years old,Deceased,8
2021-10-05,70+ years old,Deceased,2
2021-10-06,70+ years old,Deceased,5
2021-10-07,70+ years old,Deceased,2
2021-10-08,70+ years old,Deceased,5
2021-10-09,70+ years old,Deceased,8
2021-10-10,70+ years old,Deceased,4
2021-09-13,70+ years old,In Intensive Care Unit,3
2021-09-14,70+ years old,In Intensive Care Unit,4
2021-09-15,70+ years old,In Intensive Care Unit,4
2021-09-16,70+ years old,In Intensive Care Unit,4
2021-09-17,70+ years old,In Intensive Care Unit,5
2021-09-18,70+ years old,In Intensive Care Unit,8
2021-09-19,70+ years old,In Intensive Care Unit,9
2021-09-20,70+ years old,In Intensive Care Unit,9
2021-09-21,70+ years old,In Intensive Care Unit,8
2021-09-22,70+ years old,In Intensive Care Unit,10
2021-09-23,70+ years old,In Intensive Care Unit,13
2021-09-24,70+ years old,In Intensive Care Unit,12
2021-09-25,70+ years old,In Intensive Care Unit,15
2021-09-26,70+ years old,In Intensive Care Unit,16
2021-09-27,70+ years old,In Intensive Care Unit,17
2021-09-28,70+ years old,In Intensive Care Unit,17
2021-09-29,70+ years old,In Intensive Care Unit,19
2021-09-30,70+ years old,In Intensive Care Unit,20
2021-10-01,70+ years old,In Intensive Care Unit,18
2021-10-02,70+ years old,In Intensive Care Unit,19
2021-10-03,70+ years old,In Intensive Care Unit,20
2021-10-04,70+ years old,In Intensive Care Unit,21
2021-10-05,70+ years old,In Intensive Care Unit,20
2021-10-06,70+ years old,In Intensive Care Unit,23
2021-10-07,70+ years old,In Intensive Care Unit,22
2021-10-08,70+ years old,In Intensive Care Unit,22
2021-10-09,70+ years old,In Intensive Care Unit,23
2021-10-10,70+ years old,In Intensive Care Unit,22
2021-09-13,70+ years old,Requires Oxygen Supplementation,24
2021-09-14,70+ years old,Requires Oxygen Supplementation,36
2021-09-15,70+ years old,Requires Oxygen Supplementation,38
2021-09-16,70+ years old,Requires Oxygen Supplementation,43
2021-09-17,70+ years old,Requires Oxygen Supplementation,50
2021-09-18,70+ years old,Requires Oxygen Supplementation,59
2021-09-19,70+ years old,Requires Oxygen Supplementation,68
2021-09-20,70+ years old,Requires Oxygen Supplementation,76
2021-09-21,70+ years old,Requires Oxygen Supplementation,82
2021-09-22,70+ years old,Requires Oxygen Supplementation,79
2021-09-23,70+ years old,Requires Oxygen Supplementation,91
2021-09-24,70+ years old,Requires Oxygen Supplementation,91
2021-09-25,70+ years old,Requires Oxygen Supplementation,91
2021-09-26,70+ years old,Requires Oxygen Supplementation,95
2021-09-27,70+ years old,Requires Oxygen Supplementation,108
2021-09-28,70+ years old,Requires Oxygen Supplementation,113
2021-09-29,70+ years old,Requires Oxygen Supplementation,108
2021-09-30,70+ years old,Requires Oxygen Supplementation,110
2021-10-01,70+ years old,Requires Oxygen Supplementation,120
2021-10-02,70+ years old,Requires Oxygen Supplementation,139
2021-10-03,70+ years old,Requires Oxygen Supplementation,143
2021-10-04,70+ years old,Requires Oxygen Supplementation,129
2021-10-05,70+ years old,Requires Oxygen Supplementation,142
2021-10-06,70+ years old,Requires Oxygen Supplementation,140
2021-10-07,70+ years old,Requires Oxygen Supplementation,171
2021-10-08,70+ years old,Requires Oxygen Supplementation,186
2021-10-09,70+ years old,Requires Oxygen Supplementation,182
2021-10-10,70+ years old,Requires Oxygen Supplementation,176
2021-09-13,70+ years old,Hospitalised,210
2021-09-14,70+ years old,Hospitalised,225
2021-09-15,70+ years old,Hospitalised,246
2021-09-16,70+ years old,Hospitalised,251
2021-09-17,70+ years old,Hospitalised,244
2021-09-18,70+ years old,Hospitalised,292
2021-09-19,70+ years old,Hospitalised,311
2021-09-20,70+ years old,Hospitalised,366
2021-09-21,70+ years old,Hospitalised,392
2021-09-22,70+ years old,Hospitalised,388
2021-09-23,70+ years old,Hospitalised,403
2021-09-24,70+ years old,Hospitalised,399
2021-09-25,70+ years old,Hospitalised,404
2021-09-26,70+ years old,Hospitalised,436
2021-09-27,70+ years old,Hospitalised,458
2021-09-28,70+ years old,Hospitalised,485
2021-09-29,70+ years old,Hospitalised,476
2021-09-30,70+ years old,Hospitalised,481
2021-10-01,70+ years old,Hospitalised,487
2021-10-02,70+ years old,Hospitalised,519
2021-10-03,70+ years old,Hospitalised,449
2021-10-04,70+ years old,Hospitalised,471
2021-10-05,70+ years old,Hospitalised,519
2021-10-06,70+ years old,Hospitalised,527
2021-10-07,70+ years old,Hospitalised,536
2021-10-08,70+ years old,Hospitalised,551
2021-10-09,70+ years old,Hospitalised,574
2021-10-10,70+ years old,Hospitalised,602
2021-09-20,61 - 70 years old,Deceased,1
2021-09-22,61 - 70 years old,Deceased,1
2021-09-24,61 - 70 years old,Deceased,1
2021-09-25,61 - 70 years old,Deceased,1
2021-09-27,61 - 70 years old,Deceased,1
2021-09-29,61 - 70 years old,Deceased,1
2021-10-01,61 - 70 years old,Deceased,1
2021-10-02,61 - 70 years old,Deceased,3
2021-10-04,61 - 70 years old,Deceased,2
2021-10-05,61 - 70 years old,Deceased,1
2021-10-08,61 - 70 years old,Deceased,3
2021-10-09,61 - 70 years old,Deceased,1
